,JobName,CompanyName,LocationJob,JobType,Type_of_Experience,Years_of_Experience,Skills
101,Assistant Director of Housekeeping,Four Seasons Hotels and Resorts ,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"['Administration', 'Hospitality/Hotels/Food Services', 'Administration', 'Admin', 'Office Management', 'Secretary', 'Microsoft Office', 'Business Administration', 'English']"
102,Car Wash Staff,Premium Solutions Consultancy ,"Doha, Qatar ",Full Time,Not specified,Administration,"['Medical/Healthcare', 'Sales/Retail', 'sales skills', 'sales', 'sales target', 'administration', 'cars', 'is', 'operating']"
103,Secretary,City Centre Rotana ,"Doha, Qatar ",Full Time,Not specified,Administration,"['Customer Service/Support', 'Operations/Management', 'Administration', 'Secretary', 'Office Management', 'Microsoft Office', 'Admin', 'Admin Assistant', 'Customer Service']"
104,Demi Chef de Partie - International Cuisine,Park Rotana ,"Abu Dhabi, United Arab Emirates ",Full Time,Not specified,Hospitality/Hotels/Food Services,"['Operations/Management', 'hospitality', 'food services', 'chef', 'cooking', 'food', 'customer service']"
105,Property Consultant,Capital Link Developments ,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,0 - 2 Yrs of Exp,"['Sales/Retail', 'Communication skills', 'Communication', 'English', 'Computer Skills', 'Selling', 'Sales Target', 'Sales', 'Real Estate', 'New Capital']"
106,Country Manager,Luca Exim ,"Cairo, Egypt ",Work From Home,Experienced,3 - 15 Yrs of Exp,"['Business Development', 'Marketing/PR/Advertising', 'Sales/Retail', 'English', 'Marketing', 'Sales', 'import', 'Export', 'Trade', 'Business Development']"
107,Talent Acquisition Specialist,Cred Developments ,"New Cairo, Cairo, Egypt ",Full Time,Entry Level,2 - 4 Yrs of Exp,"['Human Resources', 'Human Resources (HR)', 'Recruitment']"
108,Sales Engineer,Professional Service ,"Obour City, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"['Sales/Retail', 'Engineering - Telecom/Technology', 'Engineering - Mechanical/Electrical', 'Mechatronics', 'Engineering', 'Sales Target', 'sales skills', 'Selling', 'Marketing', 'English']"
109,Receptionist / Front Office Admin,Menard ,"Sheraton, Cairo, Egypt ",Full Time,Experienced,3 - 10 Yrs of Exp,"['Administration', 'Customer Service/Support', 'Administration', 'receptionist', 'Admin', 'administrative', 'HR', 'office', 'Office management', 'Office Admin']"
110,Sales Manager,SIG GRANITE EXPORT ,"Cairo, Egypt ",Full Time,Manager,5 - 10 Yrs of Exp,"['Business Development', 'Sales/Retail', 'sales skills', 'business', 'Customer Service', 'English', 'Export', 'Management', 'Microsoft Office', 'Sales']"
111,Sales Assistant,Soit Medical ,"Nasr City, Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"['Administration', 'Customer Service/Support', 'Sales/Retail', 'Administration', 'Communication skills', 'Customer Service', 'office', 'sales skills', 'Sales', 'English']"
112,System Administrator/DevOps Engineer,Safa Soft ,"Maadi, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"['males_preferred', 'IT/Software Development', 'Engineering - Telecom/Technology', 'Information Technology (IT)', 'Docker', 'Linux', 'Networking', 'System Administration', 'Cloud', 'Computer Science', 'Engineering']"
113,HSE Assistant Section Head,National Electricity Technology Co. ,"Bourj Alarab, Alexandria, Egypt ",Full Time,Experienced,5+ Yrs of Exp,"['Administration', 'R&D/Science', 'Quality', 'OSHA', 'HSE', 'Safety', 'Fire', 'safety management systems', 'Engineering']"
114,Safety Engineer,ICON Holding ,"Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"['Engineering - Construction/Civil/Architecture', 'Engineering', 'Safety', 'Safety Engineer']"
115,Operations & Maintenance Electrical Engineer (Alexandria),National Electricity Technology Co. ,"Bourj Alarab, Alexandria, Egypt ",Full Time,Experienced,3 - 6 Yrs of Exp,"['Installation/Maintenance/Repair', 'Engineering - Mechanical/Electrical', 'Maintenance', 'Electrical Engineering', 'Engineering', 'Power Station', 'Operation Engineer', 'AutoCAD', 'Power', 'Operation']"
116,Teaching Assistant - Computer Science,Confidential ,"New Capital, Cairo, Egypt ",Full Time,Entry Level,1 - 5 Yrs of Exp,"['Education/Teaching', 'Teaching', 'Computer Science', 'Communication skills', 'Communication']"
117,Procurement Engineer,R & E Petroleum Services ,"Alexandria, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"['Purchasing/Procurement', 'Engineering - Mechanical/Electrical', 'Engineering', 'Mechanical', 'Mechanical Engineering', 'Procurement', 'Purchasing', 'offshore']"
118,Junior Accountant,Femex Egypt ,"Sheraton, Cairo, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,"['Accounting/Finance', 'Banking', 'Accounting', 'Finance', 'Financial', 'Financial Analysis', 'Microsoft Office', 'MS', 'powerpoint', 'word']"
119,Warehouse Specialist,National Electricity Technology Co. ,"Bourj Alarab, Alexandria, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"['males_only', 'Logistics/Supply Chain', 'Warehouse Management', 'Supply Chain', 'Logistics Operations', 'Inventory Management', 'Oracle', 'Inventory Control']"
120,HR Coordinator,National Electricity Technology Co. ,"Bourj Alarab, Alexandria, Egypt ",Full Time,Entry Level,0 - 1 Yrs of Exp,"['Human Resources', 'HR', 'Hr coordinator', 'Coordinator', 'Human Resources (HR)', 'Recruitment']"
121,Senior Graphic Designer,Confidential ,"Mohandessin, Giza, Egypt ",Full Time,Experienced,4 - 7 Yrs of Exp,"['males_preferred', 'Creative/Design/Art', 'Marketing/PR/Advertising', 'Adobe Photoshop', 'Adobe illustrator', 'Design', 'Graphic', 'Graphic Design', 'photoshop', 'illustrator']"
122,Sales Account Manager,Nova Plastik LLC ,"10th of Ramadan City, Cairo, Egypt ",Full Time,Manager,5+ Yrs of Exp,"['Manufacturing/Production', 'Marketing/PR/Advertising', 'sanitary ware', 'ceramics']"
123,Senior Cost Accountant,Easy Group For Health and Beauty Care ,"Alexandria, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,"['Accounting/Finance', 'Administration', 'Accounting', 'Costing', 'Finance', 'FMCG', 'Oracle', 'CMA']"
124,Sales Specialist - Social Media,Yousry group ,"Cairo, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"['Sales/Retail', 'Sales', 'Sales Skills', 'Sales Target', 'Communication Skills']"
125,Senior Accountant,Confidential ,"Bourj Alarab, Alexandria, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"['Accounting/Finance', 'accountant', 'Accounting', 'Finance', 'excel', 'Commerce']"
126,Collection Specialist,Confidential ,"Maadi, Cairo, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"['Accounting/Finance', 'Banking', 'Customer Service/Support', 'Collection', 'Communication', 'Accounting', 'Finance', 'Collection specialist', 'Billing', 'Microsoft Office']"
127,Patient Accountant,Rofayda Health Park ,"Sheikh Zayed, Giza, Egypt ",Full Time,Experienced,5 - 8 Yrs of Exp,"['Accounting/Finance', 'Finance', 'Accounting']"
128,Java Developer - Back End,Ebla ,"Nasr City, Cairo, Egypt ",Full Time,Experienced,3+ Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Java', 'javaScript', 'Information Technology (IT)', 'Engineering', 'Software Engineering', 'Software Development', 'Computer Science', 'JAVA 6']"
129,Senior Product Branding,International Group For Modern Coating  ,"Downtown, Cairo, Egypt ",Full Time,Experienced,4 - 7 Yrs of Exp,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing', 'Branding', 'Communication', 'Communication skills', 'Development', 'Market Research', 'Product Development']"
130,Franchise Sales consultant,REMAX Egypt  ,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"['Sales/Retail', 'Sales Field', 'Franchising', 'Real Estate', 'Sales', 'sales consultant', 'sales skills', 'Sales Target', 'Franchise']"
131,B2B Sales Executive,PyramidBITS ,"Maadi, Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"['Business Development', 'Sales/Retail', 'business', 'Business Administration', 'Business Development', 'CRM', 'sales skills', 'Sales']"
132,Social Media Moderator,Yousry group ,"Cairo, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"['Writing/Editorial', 'Marketing/PR/Advertising', 'Media/Journalism/Publishing', 'E-Marketing', 'Marketing', 'Online Marketing', 'Social Media', 'Writing']"
133,Senior .NET / Sitecore Developer,Arabian Advanced Systems ,"Cairo, Egypt ",Full Time,Experienced,4 - 6 Yrs of Exp,"['IT/Software Development', 'Agile', '.Net', 'C#', 'sitecore', 'Software Development', 'Information Technology (IT)', 'Engineering', 'Computer Science']"
134,Sales Representative,Metas Studio  ,"Sidi Gaber, Alexandria, Egypt ",Full Time,Experienced,0 - 1 Yrs of Exp,"['Customer Service/Support', 'Sales/Retail', 'Communication skills', 'Negotiation', 'Presentation', 'Sales', 'sales skills', 'Sales Target', 'Customer Service']"
135,Quality Assurance Specialist,Confidential ,"Nasr City, Cairo, Egypt ",Full Time,Experienced,1 - 2 Yrs of Exp,"['Quality', 'Pharmaceutical', 'Quality Control', 'Quality Assurance', 'Quality', 'QA', 'Pharmacy']"
136,General Accountant,Nova Plastik LLC ,"10th of Ramadan City, Cairo, Egypt ",Full Time,Experienced,5+ Yrs of Exp,"['Accounting/Finance', 'Manufacturing/Production', 'QuickBooks', 'Accounts Payable']"
137,Marketing Administrator,El Kamash Group ,"Marg, Cairo, Egypt ",Full Time,Experienced,3+ Yrs of Exp,"['males_only', 'Marketing/PR/Advertising', 'Sales/Retail', 'Media/Journalism/Publishing', 'administrative', 'Business Administration', 'Communication', 'Management', 'Market Research', 'Marketing', 'MS Office']"
138,offline Marketing Specialist,Selah ElTelmeez For Publishing & printing ,"Obour City, Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing', 'Offline Marketing', 'Marketing', 'Presentation', 'Social Media', 'Management', 'Microsoft Office', 'E-Marketing', 'Presentation Skills']"
139,Preschool Montessori French Teacher- Maadi,Trillium Preschool ,"Maadi, Cairo, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,"['Education/Teaching', 'Education', 'Teaching', 'Preschool', 'English', 'School', 'Montessori']"
140,Application Support Agent,Waseet.net ,"Heliopolis, Cairo, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"['Customer Service/Support', 'Sales/Retail', 'Customer Care', 'Data Entry', 'Customer Service', 'Computer Skills', 'computer', 'Sales', 'Tele sales']"
141,Technical Lead Full Stack,webSTDY ,"Mohandessin, Giza, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,"['IT/Software Development', 'Operations/Management', 'Engineering - Telecom/Technology', 'Computer Science', 'Full Stack', 'Information Technology (IT)', 'HTML', 'CSS', 'jQuery', 'JavaScript']"
142,Software Tester,webSTDY ,"Mohandessin, Giza, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"['IT/Software Development', 'Quality', 'Engineering - Telecom/Technology', 'Computer Science', 'Engineering', 'Functional', 'Information Technology (IT)', 'ISTQB', 'QA', 'Management']"
143,Senior PHP / Laravel Developer,webSTDY ,"Mohandessin, Giza, Egypt ",Full Time,Experienced,3+ Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Software Development', 'AJAX', 'javaScript', 'Web Development', 'MySQL', 'PHP', 'Laravel', 'OOP']"
144,AI & Social Media Specialist,Yousry group ,"Obour City, Cairo, Egypt ",Full Time,Entry Level,0 - 2 Yrs of Exp,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing', 'Design', 'E-Marketing', 'Marketing', 'Online Marketing', 'Social Media', 'Web Design', 'Writing', 'AI']"
145,Customer Support Advisor,Etisalat Egypt ,"Maadi, Cairo, Egypt ",Full Time,Entry Level,Customer Service/Support,"['Sales/Retail', 'Customer Care', 'Customer Service', 'Sales', 'Support', 'Chat Support', 'mail', 'back office', 'Help desk']"
146,Project Manager,ZINAD IT ,"6th of October, Giza, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"['IT/Software Development', 'Project/Program Management', 'Computer Science', 'Information Technology (IT)', 'Communication', 'Project Management', 'PMP', 'Project', 'Software', 'Skills']"
147,Translator / Senior Translator Vacancy,TransOrient ,"Cairo, Egypt ",Full Time,Experienced,3+ Yrs of Exp,"['Writing/Editorial', 'Translation', 'Localization', 'Writing', 'Editing', 'English Translation', 'Legal Translation', 'Medical Translation', 'Technical Translation', 'CAT']"
148,Receptionist / Front desk,Smart Villages Development & Managment Company ,"Abu Rawash, Giza, Egypt ",Full Time,Entry Level,1 - 4 Yrs of Exp,"['females_preferred', 'Administration', 'Receptionist', 'Admin', 'Freshgrad', 'English']"
149,Factory Manager (Interlock),Confidential ,"10th of Ramadan City, Cairo, Egypt ",Full Time,Senior Management,10 - 15 Yrs of Exp,"['males_only', 'Operations/Management', 'Manufacturing/Production', 'Factory', 'Factory Manager', 'Management', 'Manufacturing', 'PVC', 'Production', 'Engineering', 'HDPE']"
150,Front Office Clerk,Al Marasem Group ,"Sheikh Zayed, Giza, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"['Administration', 'Customer Service/Support', 'Sales/Retail', 'Administration', 'Admin', 'Business Administration', 'Communication skills', 'Customer Service', 'Office management', 'Microsoft Office']"
151,Monitoring And Evaluation Officer,Kheir wa Baraka & New Woman Association ,"Cairo, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"['Analyst/Research', 'M&E', 'MEAL', 'NGO', 'M&E Officer', 'MEAL Officer']"
152,International Account Advisor (Home Based),_VOIS Egypt ,"Cairo, Egypt ",Full Time,Entry Level,Customer Service/Support,"['Customer Service', 'Customer Care', 'Customer Support', 'Home', 'Customer', 'Service', 'Consultant', 'Call Center', 'Communication skills']"
153,Frontend Developer,Ejada  ,"Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"['IT/Software Development', 'Front-End Development', 'Angular', 'React.js']"
154,Application Developer (Unity 3D programmer),Confidential ,"Nasr City, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"['IT/Software Development', 'application', 'application Developer', 'Development', 'Programming', 'Software Development', 'Unity', 'Unity 3D']"
155,Value Add Program Director,Industrial Modernisation Centre (IMC) ,"Abbassia, Cairo, Egypt ",Full Time,Senior Management,10 - 15 Yrs of Exp,"['Engineering - Construction/Civil/Architecture', 'Business Development', 'Operations/Management', 'Economic Statistics', 'Business Administration', 'Business Development', 'Feasibility Studies', 'Feasibility Study', 'Supply Chain', 'Management']"
156,Technical Office Engineering MEP,United Engineering company ,"Haram, Giza, Egypt ",Full Time,Entry Level,5 - 7 Yrs of Exp,"['Engineering - Mechanical/Electrical', 'Mechanical Engineering', 'Administration']"
157,French Teacher,Manhattan Schools ,"Maadi, Cairo, Egypt ",Full Time,Experienced,5 - 6 Yrs of Exp,"['Education/Teaching', 'Education', 'french language', 'french', 'French Teaching', 'Teaching', 'Communication skills']"
158,Elementary English Teacher - Mansoura (familiarity with wonders curriculum is a must),Delta American School  ,"Mansoura, Dakahlia, Egypt ",Full Time,Entry Level,1 - 5 Yrs of Exp,"['Education/Teaching', 'English Teaching', 'Teaching', 'Curriculum', 'English', 'Education', 'Skills']"
159,Telesales Representative,Zumra Food ,"Nasr City, Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"['Sales/Retail', 'Sales', 'sales skills', 'Telesales', 'Tele sales']"
160,Category Manager,Zumra Food ,"Nasr City, Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"['Purchasing/Procurement', 'Category Management', 'Sales', 'Purchasing']"
